pvm lämpötila
22.1.2015 -19 C
22.1.2015 -19 C
22.1.2015 -18 C
22.1.2015 -18 C
22.1.2015 -18 C
23.1.2015 -18 C
23.1.2015 -19 C
23.1.2015 -22 C
23.1.2015 -21 C
23.1.2015 -24 C
23.1.2015 -26 C
23.1.2015 -26 C
23.1.2015 -24 C
23.1.2015 -21 C
23.1.2015 -20 C
23.1.2015 -20 C
23.1.2015 -18 C
23.1.2015 -18 C
23.1.2015 -18 C
23.1.2015 -18 C
23.1.2015 -18 C
23.1.2015 -18 C
23.1.2015 -18 C
23.1.2015 -19 C
23.1.2015 -20 C
23.1.2015 -18 C
23.1.2015 -17 C
23.1.2015 -17 C
23.1.2015 -16 C
24.1.2015 -16 C
24.1.2015 -16 C
24.1.2015 -17 C
24.1.2015 -19 C
24.1.2015 -21 C
24.1.2015 -23 C
24.1.2015 -25 C
24.1.2015 -26 C
24.1.2015 -23 C
24.1.2015 -20 C
24.1.2015 -19 C
24.1.2015 -18 C
24.1.2015 -16 C
24.1.2015 -15 C
24.1.2015 -13 C
24.1.2015 -12 C
24.1.2015 -10 C
24.1.2015 -8 C
24.1.2015 -7 C
24.1.2015 -5 C
24.1.2015 -4 C
24.1.2015 -3 C
24.1.2015 -3 C
24.1.2015 -3 C
25.1.2015 -3 C
25.1.2015 -2 C
25.1.2015 -2 C
25.1.2015 -2 C
25.1.2015 -2 C
25.1.2015 -2 C
25.1.2015 -2 C
25.1.2015 -3 C
25.1.2015 -3 C
25.1.2015 -4 C
25.1.2015 -4 C
25.1.2015 -4 C
25.1.2015 -5 C
25.1.2015 -6 C
25.1.2015 -6 C
25.1.2015 -5 C
25.1.2015 -5 C
25.1.2015 -6 C
25.1.2015 -5 C
25.1.2015 -5 C
25.1.2015 -5 C
25.1.2015 -4 C
25.1.2015 -4 C
25.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -2 C
26.1.2015 -2 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -3 C
26.1.2015 -2 C
26.1.2015 -2 C
26.1.2015 -2 C
26.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -1 C
27.1.2015 -1 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -2 C
27.1.2015 -3 C
27.1.2015 -3 C
27.1.2015 -4 C
27.1.2015 -4 C
27.1.2015 -5 C
27.1.2015 -5 C
27.1.2015 -6 C
27.1.2015 -5 C
27.1.2015 -5 C
27.1.2015 -4 C
27.1.2015 -4 C
27.1.2015 -3 C
28.1.2015 -3 C
28.1.2015 -3 C
28.1.2015 -3 C
28.1.2015 -3 C
28.1.2015 -4 C
28.1.2015 -4 C
28.1.2015 -3 C
28.1.2015 -3 C
28.1.2015 -3 C
28.1.2015 -2 C
28.1.2015 -2 C
28.1.2015 -1 C
28.1.2015 -1 C
28.1.2015 -1 C
28.1.2015 -1 C
28.1.2015 -1 C
28.1.2015 -1 C
28.1.2015 -1 C
28.1.2015 -2 C
28.1.2015 -2 C
28.1.2015 -2 C
28.1.2015 -2 C
28.1.2015 -2 C
28.1.2015 -2 C
29.1.2015 -2 C
29.1.2015 -2 C
29.1.2015 -2 C
29.1.2015 -2 C
29.1.2015 -1 C
29.1.2015 -1 C
29.1.2015 -1 C
29.1.2015 -1 C
29.1.2015 -1 C
29.1.2015 -1 C
29.1.2015 -2 C
29.1.2015 -3 C
29.1.2015 -4 C
29.1.2015 -5 C
29.1.2015 -6 C
29.1.2015 -7 C
29.1.2015 -7 C
29.1.2015 -8 C
29.1.2015 -8 C
29.1.2015 -8 C
29.1.2015 -8 C
29.1.2015 -8 C
29.1.2015 -8 C
29.1.2015 -8 C
30.1.2015 -8 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -7 C
30.1.2015 -6 C
30.1.2015 -6 C
30.1.2015 -6 C
30.1.2015 -6 C
30.1.2015 -6 C
30.1.2015 -6 C
30.1.2015 -5 C
30.1.2015 -5 C
30.1.2015 -4 C
30.1.2015 -3 C
30.1.2015 -3 C
30.1.2015 -2 C
30.1.2015 -2 C
31.1.2015 -2 C
31.1.2015 -2 C
31.1.2015 -2 C
31.1.2015 -2 C
31.1.2015 -2 C
31.1.2015 -2 C
31.1.2015 -3 C
31.1.2015 -3 C
31.1.2015 -4 C
31.1.2015 -4 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -4 C
31.1.2015 -4 C
31.1.2015 -4 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -5 C
31.1.2015 -5 C
1.2.2015 -5 C
1.2.2015 -6 C
1.2.2015 -6 C
1.2.2015 -6 C
1.2.2015 -7 C
1.2.2015 -6 C
1.2.2015 -6 C
1.2.2015 -7 C
1.2.2015 -7 C
1.2.2015 -7 C
1.2.2015 -7 C
1.2.2015 -7 C
1.2.2015 -8 C
1.2.2015 -8 C
1.2.2015 -9 C
1.2.2015 -9 C
1.2.2015 -10 C
1.2.2015 -10 C
1.2.2015 -10 C
1.2.2015 -11 C
1.2.2015 -11 C
1.2.2015 -11 C
1.2.2015 -11 C
1.2.2015 -11 C
2.2.2015 -11 C
2.2.2015 -11 C
2.2.2015 -11 C
2.2.2015 -11 C
2.2.2015 -11 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -12 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
2.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -13 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
3.2.2015 -12 C
4.2.2015 -12 C
4.2.2015 -12 C
4.2.2015 -12 C
4.2.2015 -12 C
4.2.2015 -12 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -13 C
4.2.2015 -14 C
4.2.2015 -14 C
5.2.2015 -14 C
5.2.2015 -14 C
5.2.2015 -13 C
5.2.2015 -13 C
5.2.2015 -13 C
5.2.2015 -13 C
5.2.2015 -12 C
5.2.2015 -12 C
5.2.2015 -12 C
5.2.2015 -10 C
5.2.2015 -9 C
5.2.2015 -7 C
5.2.2015 -6 C
5.2.2015 -5 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -4 C
5.2.2015 -3 C
6.2.2015 -3 C
6.2.2015 -2 C
6.2.2015 -2 C
6.2.2015 -2 C
6.2.2015 -2 C
6.2.2015 -4 C
6.2.2015 -5 C
6.2.2015 -6 C
6.2.2015 -6 C
6.2.2015 -5 C
6.2.2015 -5 C
6.2.2015 -4 C
6.2.2015 -5 C
6.2.2015 -5 C
6.2.2015 -6 C
6.2.2015 -8 C
6.2.2015 -11 C
6.2.2015 -8 C
6.2.2015 -9 C
6.2.2015 -10 C
6.2.2015 -8 C
6.2.2015 -8 C
6.2.2015 -7 C
6.2.2015 -5 C
7.2.2015 -4 C
7.2.2015 -4 C
7.2.2015 -3 C
7.2.2015 -2 C
7.2.2015 -1 C
7.2.2015 0 C
7.2.2015 0 C
7.2.2015 0 C
7.2.2015 0 C
7.2.2015 0 C
7.2.2015 0 C
7.2.2015 0 C
7.2.2015 -1 C
7.2.2015 -2 C
7.2.2015 -3 C
7.2.2015 -5 C
7.2.2015 -5 C
7.2.2015 -6 C
